2016-03-08 15:12:01.871548IP Scanner Log for 03-08-2016, 15:11 America/New_York,,,
remote device,other,10.144.0.218,78:7E:61:44:C2:80,3/8/16 15:13
remote device,other,10.144.0.222,4C:7C:5F:A0:41:4E,3/8/16 15:13
remote device,other,10.144.0.229,FC:C2:DE:1E:A3:68,3/8/16 15:14
remote device,other,10.144.0.233,38:AA:3C:1C:8D:7C,3/8/16 15:14
remote device,other,10.144.0.236,00:23:6C:96:C7:D4,3/8/16 15:14
remote device,other,10.144.0.240,5C:96:9D:7D:A8:D5,3/8/16 15:14
remote device,other,10.144.0.242,D8:BB:2C:71:D4:88,3/8/16 15:14
local user (bass),Home,10.144.5.197,34:36:3B:62:4E:D4,3/8/16 15:10
remote device,other,10.144.39.2,20:C9:D0:BB:52:85,3/8/16 15:14
remote device,other,10.144.39.18,D0:DF:9A:68:8B:48,3/8/16 15:14
remote device,other,10.144.39.21,80:E6:50:1C:B9:D0,3/8/16 15:14
remote device,other,10.144.39.24,D0:57:85:FB:DE:A0,3/8/16 15:14
remote device,other,10.144.39.36,60:F8:1D:C1:15:66,3/8/16 15:14
remote device,other,10.144.39.40,AC:BC:32:9F:17:99,3/8/16 15:14
remote device,other,10.144.39.46,78:F8:82:B2:5B:5A,3/8/16 15:14
remote device,other,10.144.39.50,FC:DB:B3:F3:22:DA,3/8/16 15:14
remote device,other,10.144.39.52,20:C9:D0:C7:6B:9D,3/8/16 15:14
remote device,other,10.144.39.71,DC:86:D8:CA:13:D9,3/8/16 15:15
remote device,other,10.144.39.72,2C:D0:5A:8D:25:70,3/8/16 15:15
remote device,other,10.144.39.74,78:31:C1:C0:81:84,3/8/16 15:15
remote device,other,10.144.39.79,7C:D1:C3:8A:C2:DC,3/8/16 15:16
remote device,other,10.144.39.84,28:5A:EB:46:4B:38,3/8/16 15:16
remote device,other,10.144.39.89,7C:D1:C3:90:15:FA,3/8/16 15:16
remote device,other,10.144.39.95,90:FD:61:B8:29:53,3/8/16 15:16
remote device,other,10.144.39.98,DC:86:D8:5C:05:FF,3/8/16 15:16
remote device,other,10.144.39.104,14:10:9F:D7:21:81,3/8/16 15:16
remote device,other,10.144.39.116,B8:E8:56:23:97:3C,3/8/16 15:16
remote device,other,10.144.39.117,54:26:96:D3:12:95,3/8/16 15:16
remote device,other,10.144.39.120,80:00:6E:DB:E6:7F,3/8/16 15:16
remote device,other,10.144.39.122,C8:1E:E7:23:2E:42,3/8/16 15:16
remote device,other,10.144.39.138,A8:A6:68:1A:B1:53,3/8/16 15:17
remote device,other,10.144.39.139,5C:51:4F:F4:F3:A8,3/8/16 15:17
remote device,other,10.144.39.144,F8:16:54:A5:49:F7,3/8/16 15:17
remote device,other,10.144.39.153,3C:15:C2:D0:70:56,3/8/16 15:17
remote device,other,10.144.39.157,48:D7:05:E2:78:F9,3/8/16 15:17
